text,label
Government passes new healthcare reform after months of debate.,REAL
Scientists discover water traces on Mars in new rover images.,REAL
Local school wins national robotics competition.,REAL
"Economic report shows steady growth in Q2, experts weigh in.",REAL
City council approves plan to expand public transport services.,REAL
University launches scholarship program for underrepresented students.,REAL
Hospital introduces AI system to reduce patient wait times.,REAL
International summit focuses on climate adaptation strategies.,REAL
New vaccine trial shows promising results in early phase.,REAL
Tech company announces partnership to improve rural connectivity.,REAL
"Chocolate cures all diseases overnight, doctors confirm miracle.",FAKE
Aliens sign peace treaty with world leaders in secret meeting.,FAKE
Drinking salt water instantly makes you immune to flu forever.,FAKE
Time traveler reveals lottery numbers for next ten years.,FAKE
City bans clouds after rain causes traffic jams.,FAKE
"Phones now charge from human thoughts, electricity obsolete.",FAKE
Ocean turns into lemonade according to viral video proof.,FAKE
Invisible cats discovered guarding ancient pyramids.,FAKE
Eating only ice cream guarantees six-pack abs in a week.,FAKE
Earth officially declared flat by global committee.,FAKE
